,epoch,ctc,wer,cer
0,1,0.21223283958088604,0.5573935602014345,0.23267804974194398
1,2,0.11233764057334097,0.35151046598866065,0.120140141623277
2,3,0.09265201336236702,0.295473148187042,0.09853905246315692
3,4,0.08262216394317864,0.26654004788614516,0.0877283034349699
4,5,0.07633670307453524,0.2482826973415905,0.08092137408438178
5,6,0.07176902879535656,0.23474313703700356,0.07595825593286212
6,7,0.0684210018788514,0.2249713007474301,0.07242468454394915
7,8,0.06566170114192875,0.21690254377200963,0.06947071777364976
8,9,0.0633101631098299,0.20995666000783747,0.06699155915369932
9,10,0.061478952737651825,0.2046004941748094,0.06502272337757913
10,11,0.05970164966737363,0.19955421114674185,0.06316770335556805
11,12,0.05828656833150273,0.19524828641933822,0.061631291112576515
12,13,0.056999566784658534,0.19142824176601295,0.06025849152705388
13,14,0.05586643537562995,0.18802803833231155,0.059046311562049515
14,15,0.05485772821674284,0.1851457241436882,0.05799929099173014
15,16,0.053962130684035915,0.18224065260425446,0.057014742534944006
16,17,0.053139550210444766,0.17987973697181545,0.05616271129133434
17,18,0.05233840921091615,0.17754487531577154,0.05532948194427359
18,19,0.05165336829019747,0.17545662252201427,0.05458795201788141
19,20,0.05096220724687836,0.17341622397061537,0.05386761440009938
20,21,0.05029047113594058,0.17143271879624247,0.05318283165079125
21,22,0.049715840606160834,0.16976005351167722,0.05256562323907985
22,23,0.04917670299357877,0.16821244731380844,0.052005262441934076
23,24,0.04867937600366815,0.1667271579737663,0.051447171531871665
24,25,0.04811720835206707,0.16493868542269385,0.05085420872820999
